"idcliente";"nome";"email";"cpf";"telefone"
1;"Maria de Fátima Silva";"maria.silva@email.com";"12345678901";"(11) 98765-1234"
2;"João Pedro Santos";"joao.santos@email.com";"23456789012";"(21) 91234-5678"
3;"Ana Paula Costa";"ana.paula@email.com";"34567890123";"(31) 99876-5432"
4;"Carlos Alberto Souza";"carlos.souza@email.com";"45678901234";"(41) 91122-3344"
5;"Beatriz Oliveira Lima";"beatriz.lima@email.com";"56789012345";"(51) 95566-7788"
6;"Ricardo José Almeida";"ricardo.almeida@email.com";"67890123456";"(61) 93344-5566"
7;"Fernanda Gomes Pereira";"fernanda.gomes@email.com";"78901234567";"(71) 97788-9900"
8;"Guilherme Rocha Ferreira";"guilherme.rocha@email.com";"89012345678";"(81) 92233-4455"
9;"Helena Martins Dias";"helena.martins@email.com";"90123456789";"(91) 96677-8899"
10;"Luís Felipe Ribeiro";"luis.ribeiro@email.com";"01234567890";"(11) 91011-2131"
11;"Patrícia Nunes Barbosa";"patricia.barbosa@email.com";"10987654321";"(19) 91213-1415"
12;"Roberto Cavalcanti Teles";"roberto.teles@email.com";"21098765432";"(21) 91516-1718"
13;"Silvana Xavier Duarte";"silvana.duarte@email.com";"32109876543";"(31) 91819-2021"
14;"Thiago Ventura Mendes";"thiago.mendes@email.com";"43210987654";"(41) 92122-2324"
15;"Vanessa Cruz Freitas";"vanessa.freitas@email.com";"54321098765";"(51) 92425-2627"
16;"Andréia Correia Pires";"andreia.pires@email.com";"65432109876";"(61) 92728-2930"
17;"Bruno Lopes Morais";"bruno.morais@email.com";"76543210987";"(71) 93031-3233"
18;"Cintia Regina Santos";"cintia.santos@email.com";"87654321098";"(81) 93334-3536"
19;"Daniel Rocha Barbosa";"daniel.barbosa@email.com";"98765432109";"(91) 93637-3839"
20;"Erica Pires Mendes";"erica.mendes@email.com";"09876543210";"(11) 93940-4142"
21;"Fábio Guedes Pereira";"fabio.pereira@email.com";"10293847561";"(19) 94243-4445"
22;"Gisele Lima Oliveira";"gisele.oliveira@email.com";"21304958672";"(21) 94546-4748"
23;"Hugo Mendes Silva";"hugo.silva@email.com";"32415069783";"(31) 94849-5051"
24;"Isabela Souza Martins";"isabela.martins@email.com";"43526170894";"(41) 95152-5354"
25;"Júlio César Freitas";"julio.freitas@email.com";"54637281905";"(51) 95455-5657"
26;"Karen Santos Ferreira";"karen.ferreira@email.com";"65748392016";"(61) 95758-5960"
27;"Lívia Dias Costa";"livia.costa@email.com";"76859403127";"(71) 96061-6263"
28;"Marcelo Alves Pires";"marcelo.pires@email.com";"87960514238";"(81) 96364-6566"
29;"Natália Rocha Lima";"natalia.lima@email.com";"98071625349";"(91) 96667-6869"
30;"Otávio Morais Duarte";"otavio.duarte@email.com";"09182736450";"(11) 96970-7172"
31;"Priscila Almeida Santos";"priscila.santos@email.com";"10395876241";"(19) 97273-7475"
32;"Quitéria Teles Barbosa";"quiteria.barbosa@email.com";"21406987352";"(21) 97576-7778"
33;"Rafael Duarte Ferreira";"rafael.ferreira@email.com";"32517098463";"(31) 97879-8081"
34;"Sofia Mendes Pires";"sofia.pires@email.com";"43628109574";"(41) 98182-8384"
35;"Túlio Freitas Lima";"tulio.lima@email.com";"54739210685";"(51) 98485-8687"
36;"Úrsula Pires Costa";"ursula.costa@email.com";"65840321796";"(61) 98788-8990"
37;"Vicente Costa Santos";"vicente.santos@email.com";"76951432807";"(71) 99091-9293"
38;"Wanda Silva Almeida";"wanda.almeida@email.com";"87062543918";"(81) 99394-9596"
39;"Xavier Barbosa Pereira";"xavier.pereira@email.com";"98173654029";"(91) 99697-9899"
40;"Yara Pereira Mendes";"yara.mendes@email.com";"09284765130";"(11) 99900-0102"
41;"Zeca Almeida Rocha";"zeca.rocha@email.com";"10496887351";"(19) 90203-0405"
42;"Alice Rocha Dias";"alice.dias@email.com";"21507998462";"(21) 90506-0708"
43;"Breno Dias Ferreira";"breno.ferreira@email.com";"32618009573";"(31) 90809-1011"
44;"Cecília Ferreira Santos";"cecilia.santos@email.com";"43729110684";"(41) 91112-1314"
45;"Diego Santos Lima";"diego.lima@email.com";"54830221795";"(51) 91415-1617"
46;"Elisa Lima Pires";"elisa.pires@email.com";"65941332806";"(61) 91718-1920"
47;"Felipe Pires Costa";"felipe.costa@email.com";"76052443917";"(71) 92021-2223"
48;"Gabriela Costa Duarte";"gabriela.duarte@email.com";"87163554028";"(81) 92324-2526"
49;"Henrique Duarte Mendes";"henrique.mendes@email.com";"98274665139";"(91) 92627-2829"
50;"Ingrid Mendes Silva";"ingrid.silva@email.com";"09385776240";"(11) 92930-3132"
