"idfuncionario";"nome";"cargo";"cpf"
1;"Pedro Henrique Lima";"Gerente Geral";"11223344550"
2;"Camila Viana Paz";"Subgerente";"22334455661"
3;"Marcelo Aguiar Neto";"Caixa - Matutino";"33445566772"
4;"Jéssica Soares Reis";"Caixa - Vespertino";"44556677883"
5;"Lucas Barreto Matos";"Repositor - Mercearia";"55667788994"
6;"Mariana Fontes Melo";"Repositor - Hortifrúti";"66778899005"
7;"Felipe Dias Alves";"Repositor - Limpeza";"77889900116"
8;"Larissa Ramos Sales";"Açougueiro";"88990011227"
9;"Gustavo Neves Moura";"Padeiro";"99001122338"
10;"Aline Martins Silva";"Atendente";"00112233449"
